id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
6726,定慧北里精装修一居室 朝南向 采光好,定慧北里 , 1室1厅 , 46.06平米 ,151人关注 , 共14次带看 , 2个月以前发布,370,单价80331元/平米,海淀,"116.287719,39.931907"
6727,牡丹园北里 2室1厅 680万,牡丹园北里 , 2室1厅 , 80.5平米 ,24人关注 , 共10次带看 , 13天以前发布,680,单价84473元/平米,海淀,"116.382488,39.985114"
6728,太平路40号院 南北板楼 可以接受贷款 带阳台,太平路40号院 , 2室1厅 , 56.9平米 ,37人关注 , 共50次带看 , 3个月以前发布,514,单价90334元/平米,海淀,"116.274899,39.90643"
6729,西山壹号院 3室2厅 2000万,西山壹号院 , 3室2厅 , 181平米 ,20人关注 , 共34次带看 , 2个月以前发布,2000,单价110498元/平米,海淀,"116.275723,40.046164"
6730,北辰赠送露台大四居室，业主诚意出售，有钥匙随时看,北辰香麓 , 5室2厅 , 263.24平米 ,30人关注 , 共15次带看 , 2个月以前发布,1530,单价58122元/平米,海淀,"116.188202,40.054847"
6731,保利西山林语 3室1厅 595万,保利西山林语 , 3室1厅 , 91平米 ,102人关注 , 共120次带看 , 3个月以前发布,595,单价65385元/平米,海淀,"116.220283,40.043636"
6732,学院路 城华园正规西向 一居室 可以改成两居室,城华园 , 1室1厅 , 66.5平米 ,22人关注 , 共35次带看 , 2个月以前发布,415,单价62407元/平米,海淀,"116.358543,40.017542"
6733,电梯房  南北通透  高层采光好 交通方便,知春路57号院 , 2室1厅 , 76.5平米 ,23人关注 , 共42次带看 , 1个月以前发布,860,单价112419元/平米,海淀,"116.342501,39.983244"
6734,科源小区  中关村二小  中间楼层 户型方正,科源小区 , 1室1厅 , 45.6平米 ,38人关注 , 共81次带看 , 6个月以前发布,620,单价135965元/平米,海淀,"116.326632,39.992911"
6735,翠微中里 一居室带客厅 满五年公房,翠微中里 , 1室1厅 , 49.7平米 ,45人关注 , 共45次带看 , 2个月以前发布,460,单价92556元/平米,海淀,"116.301709,39.919502"
6736,精装修复式 挑高5.2米 两居室拎包入住 居住舒适不压抑,SOCO公社 , 2室1厅 , 45.77平米 ,123人关注 , 共7次带看 , 28天以前发布,252,单价55058元/平米,海淀,"116.368557,40.072913"
6737,金澳国际 1室0厅 256万,金澳国际 , 1室0厅 , 55平米 ,67人关注 , 共13次带看 , 18天以前发布,256,单价46546元/平米,海淀,"116.385135,39.977329"
6738,太阳园西向两居  户型方正  无遮挡  业主诚售,太阳园 , 2室2厅 , 100.13平米 ,13人关注 , 共19次带看 , 30天以前发布,1100,单价109858元/平米,海淀,"116.347797,39.976432"
6739,太阳园东向两居  户型方正  无遮挡  业主诚售,太阳园 , 2室2厅 , 100.13平米 ,10人关注 , 共19次带看 , 30天以前发布,1050,单价104864元/平米,海淀,"116.347797,39.976432"
6740,人济山庄二期 东向复式 一层接地气,人济山庄 , 4室2厅 , 227.19平米 ,27人关注 , 共13次带看 , 9个月以前发布,1700,单价74828元/平米,海淀,"116.321095,39.946957"
6741,精装复式 南北通透 采光好 交通方便 ,志新西路一号院 , 5室2厅 , 217.74平米 ,80人关注 , 共19次带看 , 4个月以前发布,1360,单价62460元/平米,海淀,"116.371061,40.005086"
6742,紫金庄园 1室1厅 550万,紫金庄园 , 1室1厅 , 60.3平米 ,4人关注 , 共4次带看 , 2个月以前发布,550,单价91211元/平米,海淀,"116.314388,39.972347"
6743,万寿路西街1号院 3室2厅 735万,万寿路西街1号院 , 3室2厅 , 67平米 ,61人关注 , 共52次带看 , 4个月以前发布,735,单价109702元/平米,海淀,"116.300814,39.916621"
6744,中关村东大院 1室1厅 690万,中关村东大院 , 1室1厅 , 47平米 ,17人关注 , 共5次带看 , 2个月以前发布,690,单价146809元/平米,海淀,"116.325572,39.988346"
6745,【仁】字号官邸  精品复式 大理石墙面 地暖设计,万泉新新家园 , 4室2厅 , 270平米 ,41人关注 , 共19次带看 , 8个月以前发布,3250,单价120371元/平米,海淀,"116.305298,39.979471"
6746,西三环北路82号院 3室1厅 750万,西三环北路82号院 , 3室1厅 , 67.3平米 ,90人关注 , 共46次带看 , 6个月以前发布,750,单价111442元/平米,海淀,"116.318639,39.933735"
6747,五道口 两居室 全东向 上学就隔条马路 ,王庄路27号院 , 2室1厅 , 61平米 ,7人关注 , 共2次带看 , 24天以前发布,550,单价90164元/平米,海淀,"116.346429,40.001408"
6748,五月华庭 1室0厅 380万,五月华庭 , 1室0厅 , 40.29平米 ,37人关注 , 共4次带看 , 1个月以前发布,380,单价94317元/平米,海淀,"116.375366,39.958063"
6749, 辉煌国际酒店式公寓 商住两用  不限购,辉煌国际 , 1室0厅 , 42.34平米 ,57人关注 , 共1次带看 , 1个月以前发布,160,单价37790元/平米,海淀,"116.308648,40.059182"
6750,复兴路61号院 3室1厅 850万,复兴路61号院 , 3室1厅 , 73.29平米 ,78人关注 , 共51次带看 , 4个月以前发布,850,单价115978元/平米,海淀,"116.299198,39.915465"
6751,冠城北园3居室，房本已经满五年,冠城北园 , 3室2厅 , 207.08平米 ,28人关注 , 共20次带看 , 1个月以前发布,1600,单价77265元/平米,海淀,"116.383908,39.979902"
6752,房子满五年的  一居改两居 在售,百旺茉莉园 , 2室1厅 , 87.25平米 ,46人关注 , 共11次带看 , 3个月以前发布,830,单价95129元/平米,海淀,"116.257014,40.054948"
6753,锦秋知春 5室2厅 1980万,锦秋知春 , 5室2厅 , 228.52平米 ,12人关注 , 共12次带看 , 4个月以前发布,1980,单价86645元/平米,海淀,"116.355022,39.980296"
6754,五棵松正规小三居 小区干净独立舒适 建设研究院家属楼,建设研究院 , 3室0厅 , 59.6平米 ,93人关注 , 共49次带看 , 3个月以前发布,570,单价95638元/平米,海淀,"116.275619,39.913332"
6755,庚坊国际 1室1厅 430万,庚坊国际 , 1室1厅 , 47平米 ,24人关注 , 共5次带看 , 1个月以前发布,430,单价91490元/平米,海淀,"116.371593,39.978364"
6756,楼层好南北通透大客厅带明窗户型方正格局分明,志新西路七号院 , 1室2厅 , 70.09平米 ,54人关注 , 共50次带看 , 4个月以前发布,530,单价75618元/平米,海淀,"116.371301,40.000991"
6757,荣上居 1室1厅 410万,荣上居 , 1室1厅 , 38.95平米 ,94人关注 , 共25次带看 , 4个月以前发布,410,单价105264元/平米,海淀,"116.344999,39.9852"
6758,西直门交大东路正规一居室，看房方便,交大东路56号院 , 1室1厅 , 41.89平米 ,81人关注 , 共34次带看 , 4个月以前发布,380,单价90714元/平米,海淀,"116.35599,39.953912"
6759,人济山庄二期 东向复式 一层接地气,人济山庄 , 4室2厅 , 227.19平米 ,27人关注 , 共13次带看 , 9个月以前发布,1700,单价74828元/平米,海淀,"116.321095,39.946957"
6760,铭科苑 满五年 商品房 采光充足 ,铭科苑 , 2室1厅 , 65.5平米 ,97人关注 , 共61次带看 , 3个月以前发布,438,单价66871元/平米,海淀,"116.321953,40.058245"
6761,牡丹园东里 南北通透 板楼两居 业主诚售,牡丹园东里 , 2室1厅 , 61.7平米 ,79人关注 , 共23次带看 , 4个月以前发布,580,单价94004元/平米,海淀,"116.382606,39.983696"
6762,轮胎厂宿舍 2室1厅 420万,轮胎厂宿舍 , 2室1厅 , 66.8平米 ,50人关注 , 共4次带看 , 3个月以前发布,420,单价62875元/平米,海淀,"116.360671,40.071023"
6763,辉煌国际 商住两用 不限购 南向 采光好,辉煌国际 , 1室0厅 , 56平米 ,166人关注 , 共28次带看 , 2个月以前发布,190,单价33929元/平米,海淀,"116.308648,40.059182"
6764,学清路 学知轩 朝东一居室，无遮挡,学知轩 , 2室1厅 , 66平米 ,18人关注 , 共19次带看 , 1个月以前发布,480,单价72728元/平米,海淀,"116.359587,40.01792"
6765,晨月园南向一居，高楼层，视野开阔,晨月园 , 1室1厅 , 57平米 ,24人关注 , 共17次带看 , 1个月以前发布,620,单价108772元/平米,海淀,"116.288983,39.964722"
6766,可对外交易 楼层好  紧邻玉渊潭公园,水科院 , 2室1厅 , 59.6平米 ,114人关注 , 共58次带看 , 3个月以前发布,600,单价100672元/平米,海淀,"116.337023,39.918488"
6767,【靠谱签约】精装修拎包入住 南北通透带阁楼挑高5.9米,泽丰苑二期 , 2室1厅 , 110.79平米 ,106人关注 , 共21次带看 , 5个月以前发布,886,单价79972元/平米,海淀,"116.266542,39.927777"
6768,宝盛北里 2室2厅 610万,宝盛北里 , 2室2厅 , 86.42平米 ,17人关注 , 共0次带看 , 12天以前发布,610,单价70586元/平米,海淀,"116.375246,40.044621"
6769,南北通透 明厨明卫 中间楼层 精装修,北蜂窝30号院 , 3室0厅 , 62.46平米 ,146人关注 , 共21次带看 , 2个月以前发布,489,单价78291元/平米,海淀,"116.331899,39.904611"
6770,南北通透 中间楼层 随时签约 看房方便,理工大学附中家属楼 , 2室1厅 , 57.16平米 ,30人关注 , 共26次带看 , 1个月以前发布,620,单价108468元/平米,海淀,"116.30985,39.954152"
6771,保利二居，业主自住，随时签约，中间楼层,保利西山林语 , 2室1厅 , 90.78平米 ,126人关注 , 共35次带看 , 4个月以前发布,600,单价66094元/平米,海淀,"116.220283,40.043636"
6772,保利二居，业主自住，随时签约，中间楼层,保利西山林语 , 2室1厅 , 90.78平米 ,126人关注 , 共35次带看 , 4个月以前发布,600,单价66094元/平米,海淀,"116.220283,40.043636"
6773,马连洼一号院  南向两居室  满五年 ,马连洼1号院 , 2室1厅 , 52.4平米 ,30人关注 , 共23次带看 , 30天以前发布,560,单价106871元/平米,海淀,"116.311992,40.041582"
6774,宝盛北里 2室2厅 610万,宝盛北里 , 2室2厅 , 86.42平米 ,17人关注 , 共0次带看 , 12天以前发布,610,单价70586元/平米,海淀,"116.375246,40.044621"
6775,南北通透 明厨明卫 中间楼层 精装修,北蜂窝30号院 , 3室0厅 , 62.46平米 ,146人关注 , 共21次带看 , 2个月以前发布,489,单价78291元/平米,海淀,"116.331899,39.904611"
6776,南北通透 中间楼层 随时签约 看房方便,理工大学附中家属楼 , 2室1厅 , 57.16平米 ,30人关注 , 共26次带看 , 1个月以前发布,620,单价108468元/平米,海淀,"116.30985,39.954152"
6777,南北通透，有电梯，08年的小区。,金隅美和园 , 2室1厅 , 84.12平米 ,34人关注 , 共4次带看 , 17天以前发布,560,单价66572元/平米,海淀,"116.330146,40.039456"
6778,月季园小区  大两居 精装修 高层无遮挡 ,月季园 , 2室2厅 , 87.65平米 ,232人关注 , 共35次带看 , 9个月以前发布,660,单价75300元/平米,海淀,"116.381497,39.97775"
6779,颐源居 西南向五居室 满五年精装 满足三代居住需求,颐源居二期 , 5室2厅 , 210平米 ,43人关注 , 共7次带看 , 一年前发布,1995,单价95000元/平米,海淀,"116.310097,39.921171"
6780,太阳园 中间位置 中间楼层 全南向复式,太阳园 , 4室3厅 , 204.48平米 ,58人关注 , 共18次带看 , 8个月以前发布,2000,单价97810元/平米,海淀,"116.347797,39.976432"
6781,文林大厦 1室1厅 400万,文林大厦 , 1室1厅 , 49.68平米 ,20人关注 , 共1次带看 , 4个月以前发布,400,单价80516元/平米,海淀,"116.349153,39.968146"
6782,曙光花园 1室1厅 540万,曙光花园 , 1室1厅 , 66.11平米 ,21人关注 , 共11次带看 , 20天以前发布,540,单价81683元/平米,海淀,"116.296249,39.949325"
6783,小南庄社区 2室1厅 650万,小南庄社区 , 2室1厅 , 58.76平米 ,45人关注 , 共16次带看 , 19天以前发布,650,单价110620元/平米,海淀,"116.312131,39.970749"
6784,阳春光华家园 3室1厅 2000万,阳春光华家园 , 3室1厅 , 139.44平米 ,31人关注 , 共6次带看 , 17天以前发布,2000,单价143431元/平米,海淀,"116.307748,39.971847"
6785,电梯楼 平层 全明格局 诚心出售,增光路40号院 , 2室1厅 , 64平米 ,22人关注 , 共14次带看 , 16天以前发布,600,单价93750元/平米,海淀,"116.32872,39.933733"
6786,前沙涧路7号院 2室1厅 400万,前沙涧路7号院 , 2室1厅 , 88.8平米 ,60人关注 , 共4次带看 , 4个月以前发布,400,单价45046元/平米,海淀,"116.152698,40.116606"
6787,铁道部宿舍 3室1厅 930万,铁道部宿舍 , 3室1厅 , 92.96平米 ,21人关注 , 共15次带看 , 1个月以前发布,930,单价100044元/平米,海淀,"116.35499,39.957902"
6788,小南庄产权证满五年，南北向三年前装修自住，诚心出售,小南庄社区 , 2室1厅 , 64.72平米 ,203人关注 , 共31次带看 , 7个月以前发布,610,单价94253元/平米,海淀,"116.312131,39.970749"
6789,公园房 学校院内全南向两居室 无遮挡全天采光,民族大学南路19号院 , 2室1厅 , 54.2平米 ,142人关注 , 共18次带看 , 27天以前发布,475,单价87639元/平米,海淀,"116.328579,39.954213"
6790,百旺新城 2室1厅 700万,百旺新城 , 2室1厅 , 81.45平米 ,42人关注 , 共6次带看 , 27天以前发布,700,单价85943元/平米,海淀,"116.271746,40.05804"
6791,上地南路6号院 2室1厅 500万,上地南路6号院 , 2室1厅 , 87.94平米 ,59人关注 , 共17次带看 , 27天以前发布,500,单价56857元/平米,海淀,"116.322845,40.035467"
6792,银丰大厦 2室1厅 700万,银丰大厦 , 2室1厅 , 95.99平米 ,3人关注 , 共12次带看 , 27天以前发布,700,单价72925元/平米,海淀,"116.31335,39.982505"
6793,塔院小区 2室1厅 635万,塔院小区 , 2室1厅 , 69.32平米 ,46人关注 , 共15次带看 , 26天以前发布,635,单价91605元/平米,海淀,"116.365562,39.982896"
6794,志新北里 2室1厅 580万,志新北里 , 2室1厅 , 59.7平米 ,35人关注 , 共12次带看 , 23天以前发布,580,单价97153元/平米,海淀,"116.373007,39.999454"
6795,交大东路15号院 东南向两居室 带电梯,交大东路15号院 , 2室1厅 , 66.27平米 ,197人关注 , 共43次带看 , 5个月以前发布,550,单价82994元/平米,海淀,"116.354305,39.958661"
6796,北三环 蓟门桥 蓟门南里 双南向 两居室,蓟门南里 , 2室1厅 , 51.3平米 ,33人关注 , 共17次带看 , 23天以前发布,462,单价90059元/平米,海淀,"116.35699,39.974823"
6797,建设部大院 万科物业  落户首师大实验学校,建设部大院 , 3室1厅 , 86.4平米 ,53人关注 , 共20次带看 , 31天以前发布,960,单价111112元/平米,海淀,"116.338384,39.934691"
6798,涧桥泊屋(新纪元家园）高层复式 有车位 带露台,涧桥泊屋 , 6室3厅 , 371.72平米 ,5人关注 , 共9次带看 , 1个月以前发布,4100,单价110299元/平米,海淀,"116.30565,39.971082"
6799,怡美家园 2室1厅 650万,怡美家园 , 2室1厅 , 90.39平米 ,60人关注 , 共4次带看 , 2个月以前发布,650,单价71911元/平米,海淀,"116.32616,40.046586"
6800,永达逸家 北向1室1厅 420万 ,永达逸家 , 1室0厅 , 61.3平米 ,19人关注 , 共2次带看 , 2个月以前发布,420,单价68516元/平米,海淀,"116.26081,39.934189"
6801,三期顶层复式带露台视野无遮挡产权证满五年 一套房产,颐源居三期 , 5室3厅 , 311.75平米 ,23人关注 , 共12次带看 , 5个月以前发布,2900,单价93024元/平米,海淀,"116.310097,39.921171"
6802,颐源居二期 西南两居 满五年公房 明厨明卫,颐源居二期 , 2室2厅 , 104.55平米 ,24人关注 , 共34次带看 , 2个月以前发布,1080,单价103300元/平米,海淀,"116.310097,39.921171"
6803,工商大学家属院内 南北3居室，有装修，看原房提前说,工商大学东校区 , 3室1厅 , 78平米 ,134人关注 , 共41次带看 , 11个月以前发布,1056,单价135385元/平米,海淀,"116.32397,39.933336"
6804,70年产权 四层复式  带200平露台,豪柏国际公寓 , 5室2厅 , 343.28平米 ,8人关注 , 共9次带看 , 5个月以前发布,3300,单价96132元/平米,海淀,"116.31794,39.945339"
6805,五道口华清嘉园复式 一层自住 一层做生意,华清嘉园 , 4室3厅 , 225平米 ,33人关注 , 共14次带看 , 9个月以前发布,2200,单价97778元/平米,海淀,"116.343714,39.996907"
6806,小南庄 南北通透 单独管理 好户型 看房方便,小南庄社区 , 2室1厅 , 88.6平米 ,36人关注 , 共14次带看 , 1个月以前发布,890,单价100452元/平米,海淀,"116.312131,39.970749"
6807,精装两居 次顶层 采光充足可观西山 独院管理,八宝庄 , 2室1厅 , 62.7平米 ,62人关注 , 共17次带看 , 23天以前发布,498,单价79426元/平米,海淀,"116.298566,39.928982"
6808,洋房南北双通透复式4居 中间位置 高层采光好 视野佳,百旺茉莉园 , 4室2厅 , 217.26平米 ,61人关注 , 共12次带看 , 5个月以前发布,1600,单价73645元/平米,海淀,"116.257014,40.054948"
